# cmod[mm], load[N]
8.690453e-03, 2.689450e+03
8.705834e-03, 2.692105e+03
8.721241e-03, 2.694756e+03
8.736671e-03, 2.697403e+03
8.752122e-03, 2.700047e+03
8.767595e-03, 2.702686e+03
8.783086e-03, 2.705323e+03
8.798592e-03, 2.707957e+03
8.814110e-03, 2.710588e+03
8.829642e-03, 2.713217e+03
8.845190e-03, 2.715844e+03
8.860753e-03, 2.718467e+03
8.876329e-03, 2.721089e+03
8.891916e-03, 2.723708e+03
8.907514e-03, 2.726325e+03
8.923125e-03, 2.728940e+03
8.938750e-03, 2.731553e+03
8.954390e-03, 2.734163e+03
8.970052e-03, 2.736769e+03
8.985734e-03, 2.739372e+03
9.001434e-03, 2.741971e+03
9.017155e-03, 2.744567e+03
9.032891e-03, 2.747160e+03
9.048644e-03, 2.749750e+03
9.064417e-03, 2.752337e+03
