# cmod[mm], load[N]
1.886071e-01, 6.285675e+02
1.889426e-01, 6.263772e+02
1.892780e-01, 6.242000e+02
1.896133e-01, 6.220367e+02
1.899485e-01, 6.198874e+02
1.902836e-01, 6.177516e+02
1.906185e-01, 6.156290e+02
1.909534e-01, 6.135187e+02
1.912882e-01, 6.114204e+02
1.916229e-01, 6.093340e+02
1.919575e-01, 6.072595e+02
1.922921e-01, 6.051970e+02
1.926265e-01, 6.031465e+02
1.929609e-01, 6.011080e+02
1.932951e-01, 5.990814e+02
1.936293e-01, 5.970670e+02
1.939636e-01, 5.950530e+02
1.942984e-01, 5.930054e+02
1.946332e-01, 5.909648e+02
1.949679e-01, 5.889348e+02
1.953025e-01, 5.869160e+02
1.956370e-01, 5.849087e+02
1.959717e-01, 5.829035e+02
1.963066e-01, 5.808876e+02
1.966414e-01, 5.788797e+02
1.969762e-01, 5.768835e+02
1.973108e-01, 5.749001e+02
1.976454e-01, 5.729296e+02
1.979798e-01, 5.709716e+02
1.983141e-01, 5.690256e+02
1.986484e-01, 5.670906e+02
1.989825e-01, 5.651661e+02
1.993165e-01, 5.632515e+02
1.996505e-01, 5.613466e+02
1.999844e-01, 5.594515e+02
2.003182e-01, 5.575664e+02
2.006519e-01, 5.556913e+02
2.009855e-01, 5.538266e+02
2.013190e-01, 5.519724e+02
2.016524e-01, 5.501287e+02
2.019857e-01, 5.482954e+02
2.023189e-01, 5.464726e+02
2.026520e-01, 5.446600e+02
2.029851e-01, 5.428577e+02
2.033181e-01, 5.410655e+02
2.036509e-01, 5.392831e+02
2.039838e-01, 5.375106e+02
2.043165e-01, 5.357477e+02
2.046491e-01, 5.339945e+02
2.049816e-01, 5.322507e+02
2.053141e-01, 5.305164e+02
2.056465e-01, 5.287916e+02
2.059788e-01, 5.270787e+02
2.063111e-01, 5.253708e+02
2.066434e-01, 5.236702e+02
2.069757e-01, 5.219785e+02
2.073078e-01, 5.202966e+02
2.076399e-01, 5.186248e+02
